time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,raw_watts,raw_heartrate,left_right_balance,hrv
223,0,94,169,1537.33,533.2,43.704536,40.27159,8.808,34,0,0,169,45,405
224,0,94,169,1546.03,533.2,43.704594,40.271664,8.519,34,0,0,169,45,405
225,0,0,169,1554.61,533.4,43.70465,40.271736,8.379,34,0,0,169,,406
226,101,54,169,1562.88,533.8,43.70471,40.271805,8.043,34,18,101,169,47,405
227,173,88,169,1571.17,534.2,43.704765,40.271873,8.136,34,19,173,169,47,406
228,130,77,169,1579.37,534.4,43.70482,40.27194,7.95,33,16,130,169,42,405
229,319,82,169,1587.36,534.8,43.704872,40.272003,7.763,33,37,319,169,45,403
230,313,87,169,1595.35,535.0,43.704926,40.27207,7.8,33,34,313,169,53,405
231,246,89,169,1603.25,535.2,43.70498,40.272137,7.791,33,26,246,169,36,803
232,208,88,169,1611.11,535.4,43.705032,40.2722,7.707,33,23,208,169,53,403
233,151,83,169,1618.62,535.8,43.705082,40.272266,7.353,33,17,151,169,53,402
234,367,82,169,1625.87,536.0,43.705128,40.272327,7.119,33,43,367,169,34,399
235,444,85,169,1633.11,536.4,43.705177,40.27239,7.278,33,50,444,169,48,399
236,319,84,170,1640.47,536.4,43.705227,40.272446,7.353,33,36,319,170,54,397
237,297,83,170,1647.64,537.0,43.705276,40.272503,7.129,33,34,297,170,56,797
238,343,80,170,1654.78,537.4,43.705326,40.27256,7.035,33,41,343,170,56,397
239,345,79,171,1661.66,537.8,43.705376,40.272614,6.774,33,42,345,171,50,396
240,238,82,171,1668.28,538.2,43.70542,40.272663,6.531,33,28,238,171,77,396
241,255,82,171,1674.71,538.6,43.70547,40.27271,6.326,33,30,255,171,43,394
242,255,79,171,1681.05,538.8,43.705517,40.272755,6.224,33,31,255,171,43,393
243,438,79,171,1687.28,539.2,43.705563,40.272797,6.158,33,53,438,171,45,390
244,446,81,172,1693.6,539.4,43.705612,40.27284,6.289,33,53,446,172,49,390
245,373,81,172,1699.67,539.6,43.705654,40.272884,6.224,33,44,373,172,51,389
246,373,78,172,1706.03,539.8,43.705704,40.27293,6.27,33,46,373,172,51,389
247,390,80,172,1712.28,539.8,43.70575,40.27297,6.046,33,47,390,172,55,388
248,437,77,172,1718.49,540.4,43.7058,40.273006,6.14,33,54,437,172,51,388
249,432,79,173,1724.75,541.0,43.70585,40.273045,6.009,33,52,432,173,55,388
250,375,79,173,1731.06,541.4,43.7059,40.27308,6.289,33,45,375,173,55,388
251,327,71,173,1736.97,541.8,43.705948,40.273106,5.794,33,44,327,173,56,387
252,242,116,174,1743.14,542.2,43.706,40.273136,5.804,33,20,242,174,41,771
253,451,107,174,1749.2,542.4,43.70605,40.273167,5.944,33,40,451,174,51,385
254,351,108,174,1755.14,543.2,43.7061,40.273193,5.878,33,31,351,174,51,384
255,254,102,175,1760.91,543.4,43.706146,40.27322,5.542,33,24,254,175,51,385
256,360,99,175,1766.56,543.6,43.706196,40.273243,5.337,33,35,360,175,49,382
257,349,99,175,1772.09,544.2,43.70624,40.273266,5.337,33,34,349,175,49,384
258,333,94,176,1777.43,544.8,43.706287,40.273285,5.169,33,34,333,176,52,383
259,350,91,176,1782.69,545.6,43.706333,40.273304,5.151,33,37,350,176,50,384
260,323,91,176,1787.93,546.2,43.70638,40.273323,5.123,33,34,323,176,50,381
261,332,90,176,1792.97,546.8,43.706425,40.27334,4.908,33,35,332,176,50,384
262,341,85,177,1797.76,547.2,43.706467,40.273354,4.777,33,38,341,177,50,381
263,456,91,177,1802.58,547.8,43.706505,40.273373,4.936,33,48,456,177,53,383
264,334,88,177,1807.52,548.2,43.70655,40.273388,4.88,33,36,334,177,47,384
265,365,85,178,1812.37,548.6,43.706593,40.273403,4.731,33,41,365,178,53,382
266,305,85,178,1816.83,549.0,43.70663,40.27342,4.227,33,34,305,178,35,383
267,419,86,178,1820.88,549.4,43.706665,40.27343,4.161,33,47,419,178,51,385
268,363,87,178,1825.03,549.8,43.706703,40.27344,4.255,33,40,363,178,57,383
269,346,84,178,1829.31,550.4,43.706738,40.273457,4.385,33,39,346,178,48,383
270,373,86,178,1833.37,551.0,43.70677,40.273476,4.115,33,41,373,178,55,382
271,306,83,178,1837.43,551.4,43.70681,40.273487,4.04,33,35,306,178,55,384
272,296,78,178,1841.23,552.0,43.70684,40.2735,3.704,33,36,296,178,51,382
273,386,80,178,1845.06,552.4,43.706875,40.273518,3.742,33,46,386,178,49,381
274,388,79,178,1849.03,552.8,43.70691,40.27353,3.956,33,47,388,178,43,383
275,339,79,179,1852.92,553.4,43.706944,40.273544,3.91,33,41,339,179,59,379
276,363,76,179,1856.79,553.6,43.706974,40.273563,3.779,33,46,363,179,46,381
277,373,76,179,1860.83,554.0,43.70701,40.273586,4.04,33,47,373,179,46,380
278,373,83,179,1864.67,554.4,43.70704,40.273605,3.938,33,43,373,179,46,378
279,257,71,179,1868.52,554.8,43.70707,40.273624,3.676,33,35,257,179,53,380
280,386,77,179,1872.14,555.2,43.7071,40.273647,3.592,33,48,386,179,39,378
281,354,76,180,1875.7,555.6,43.707127,40.27367,3.62,33,44,354,180,53,378
282,344,76,180,1879.23,556.0,43.707153,40.27369,3.564,33,43,344,180,54,751
283,335,76,180,1882.78,556.4,43.707184,40.27371,3.592,33,42,335,180,54,374
284,306,70,180,1886.41,557.0,43.70721,40.27373,3.583,33,42,306,180,52,373
285,307,72,180,1890.05,557.6,43.707237,40.27376,3.704,33,41,307,180,57,374
286,306,70,180,1893.75,558.0,43.707264,40.27379,3.508,33,42,306,180,54,372
287,335,68,181,1897.56,558.4,43.70729,40.273815,4.171,33,47,335,181,50,370
288,371,71,181,1901.46,559.0,43.70732,40.273846,3.639,33,50,371,181,50,373
289,260,69,181,1904.83,559.4,43.707344,40.273865,3.238,33,36,260,181,49,370
290,342,70,181,1907.86,560.0,43.70737,40.273884,3.294,33,47,342,181,49,370
291,355,73,181,1911.37,560.6,43.707394,40.27391,3.695,32,46,355,181,49,370
292,342,73,181,1915.18,561.0,43.70742,40.27394,3.63,32,45,342,181,51,369
293,196,66,181,1918.84,561.4,43.707447,40.273968,3.49,32,28,196,181,45,366
294,296,66,181,1922.58,561.8,43.707474,40.274,3.676,32,43,296,181,49,367
295,400,62,181,1926.31,562.2,43.7075,40.274025,3.611,32,62,400,181,41,367
296,583,81,181,1930.43,562.8,43.707527,40.274063,3.891,32,69,583,181,55,369
297,419,85,181,1935.09,563.2,43.707554,40.27411,3.807,32,47,419,181,52,363
298,445,101,181,1939.76,563.8,43.70758,40.274155,4.693,32,42,445,181,42,367
